# Room groups the Official 117 areas do not cover.
# Regenerate with: cargo run -p cena-map-layout --example area_triage
#
# Fill `verdict`: place | building | split      (blank = undecided)
#   place    = ONE area, kept whole. The group is a single place, and any
#              stray prefixes are its furniture.
#   building = rooms of a building; attaches to the area named in `touches`.
#   split    = several places welded into one group by the interior-doorway
#              grouping. NOT an assignment: it needs breaking up first, and
#              the pieces are usually a MIX rather than peer areas -- the
#              192-room group holding Ta'Illistim Keep and the Moonglae Inn
#              is most likely one place and one building of taillistim-town.
#              Prefix is the visible signal but not a reliable rule: the
#              prefix-pieces were each internally connected in only 19 of
#              the 45 groups tried.
#   skip     = GONE. Removed from the game and never drawn, so it needs no
#              area at all. `closed` is NOT skipped: closed means draw but
#              do not route, so Rumor Woods still needs an area to be drawn
#              in when it opens in April.
#
# The `place` and `building` rows are already in curation/areas.toml.
#
# `doorway` counts real front doors into `touches`: an indoor room here
# opening onto an outdoor room there. A `building` needs at least one.
# Adjacency alone is not belonging -- a Krolvin Warship touches
# wehnimers-landing-danjirland by one exit, has no doorway, and is an Open
# Sea Adventures ship instance rather than a building in Danjirland.
#
# `prefixes` of one or two rooms are ignored when deciding `split`.
#
verdict	rooms	indoor	outdoor	doorway	touches	locations	prefixes
building	12	12	0	1	vornavis-caravansary (1)	Solhaven (12)	Locker Alcove (5); Storage Warehouse (4); Mercantylers' Storage Warehouse (2); Paspartu Moving Co. (1)
building	12	12	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (12)	Henty's Depot (12)
building	12	12	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (12)	Isle Designs (12)
building	12	12	0	1	vornavis-solhaven-town (1)	the southern part of Solhaven (12)	Dark Cavern (11); Fangs of the Serpent (1)
	12	12	0	0		Cysaegir (12)	Sutana's Designs (12)
building	12	7	5	1	vornavis-solhaven-town (1)	Solhaven (12)	Midrian's Dyes (12)
	12	12	0	0		Wehnimer's Landing (12)	Phoenix Annex (10); House Phoenix (1); Phoenix (1)
building	12	12	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (12)	Annatto Bridge Tunnel (5); Annatto Bridge Shaft (3); Annatto Arch (2); Fire Drake (1); Orb Storage Room (1)
building	12	12	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (12)	The Elven Sole (9); Daisy Workshop (1); Lilac Workshop (1); Sandal Workshop (1)
	12	12	0	0		Sailor's Grief (12)	The Contempt (9); Ebb Tide Table (1); Leviathan's Table (1); Seaspray Table (1)
	12	12	0	0	zul-logoth-czeroth-caverns (2)	the village of Cysaegir (12)	Czeroth Tunnel (12)
	11	11	0	0		Naidem (11)	Sonreeva (11)
skip	11	0	11	0	vornavis-solhaven-town (9)		Solhaven (11)
building	11	11	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (11)	Easy Living (11)
building	11	11	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (11)	New Look (11)
building	11	11	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (11)	The New Look (11)
building	11	11	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (11)	Warehouse (9); Permit Office (1); Warehouse Entry (1)
	11	8	3	0		Icemule Ranger Guild (11)	Guild Lodge (7); Ranger Guild (4)
	11	0	11	0	wehnimers-landing-sentoph (1)	the Upper Trollfang (11)	Ranger Guild (9); Upper Trollfang (2)
	11	11	0	0		Icemule Trace (11)	Icemule Hall (11)
building	11	11	0	1	krakens-fall-town (1)	Rocky Shoals (11)	Limestone Cave (9); Limstone Cave (2)
building	11	11	0	1	icemule-trace-town (1)	Icemule Trace (11)	New Look (11)
building	11	11	0	1	vornavis-caravansary (1)	Solhaven (11)	Mercantylers' Hall (6); Mercantyler's Debt Collection (1); Mercantylers' Banking Hall (1); Mercantylers' Exchange Booth (1); Mercantylers' Guild Hall (1)
building	11	10	1	1	rivers-rest-town (1)	River's Rest (11)	River's Rest Hall (11)
	11	11	0	0		Ta'Illistim (11)	Ta'Illistim Hall (11)
building	11	9	2	1	special-naidem-west (1)	Evermore Hollow (11)	Quinton Manse (11)
	10	10	0	0		Mist Harbor (10)	Icemule Trace Room (1); Kharam Dzu Room (1); Kraken's Fall Room (1); River's Rest Room (1); Solhaven Room (1)
	10	0	10	0	wehnimers-landing-town (1)	Talador (10)	The Swale (10)
building	10	10	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (10)	Great Hall (8); Bride's Waiting Room (1); Groom's Waiting Room (1)
building	10	10	0	1	vornavis-solhaven-town (1)	Solhaven (10)	Warehouse (10)
building	10	10	0	1	taillistim-town (1)	Ta'Illistim (10)	Repository (10)
	10	5	5	0		Ships (10)	Frigate (10)
	10	5	5	0		Ships (10)	Galleon (10)
building	10	8	2	1	vornavis-solhaven-town (1)	the southern part of Solhaven (10)	Andelas' Temple (4); Hall of the Claw (3); Chamber of Convergence (1); Hall of the Feline (1); Hall of the Hunters (1)
building	10	9	1	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (10)	Ta'Vaalor Dye Wares (10)
	10	9	1	0		the southern part of Solhaven (10)	Temple (8); Temple of Eternity (2)
skip	10	0	10	0	vornavis-solhaven-town (1)	the southern part of Solhaven (10)	Solhaven (10)
building	10	10	0	1	rivers-rest-town (1)	River's Rest (10)	Turpin's Merchant Supplies (10)
building	10	10	0	1	rivers-rest-town (1)	River's Rest (10)	Bamboo Cottage (10)
skip	10	10	0	0		Highman Games near Icemule Trace (10)	Hairless Rolton (7); Hairless Rolton Tavern (3)
	10	10	0	0		Zul Logoth (10)	Ranger Guild (7); Zul Logoth (2); Guildmaster's Office (1)
building	10	10	0	1	wehnimers-landing-old-mine-road (1)	Wehnimer's Landing (10)	Sphere and Scythe (10)
building	10	10	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (10)	Meeting Hall (10)
building	10	10	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (10)	Stockade (6); Bastille (4)
skip	10	9	1	0		the Feywrot Mire (10)	Feymist Inn (8); Feymist Inn Lobby (1); Mighty Banyan Table (1)
skip	10	9	1	1	wehnimers-landing-town (1)	Wehnimer's Landing (10)	Merchant Hall (9); Merchant's Hall (1)
	10	0	10	0	elven-nations-fearling-pass (1); elven-nations-sylvarraend-road (1)	Ta'Vaalor (10)	Lake of Fear (10)
building	10	8	2	1	wehnimers-landing-melgorehns-valley (1)	Wehnimer's Landing (10)	Baile Dragan (10)
	10	8	2	0		Kraken's Fall (10)	Estate (10)
	10	10	0	0		Mist Harbor (10)	Ranger Guild (8); Ranger's Guild (2)
building	10	10	0	1	special-naidem-east (1); special-naidem-west (1)	Evermore Hollow (10)	The Witching House (6); A. B. Witching (3); The Witching Family Vault (1)
	10	10	0	0		the free port of Solhaven (10)	Public Baths (3); Cold Baths (1); Fiery Bath (1); Hot Baths (1); Ivy Bath (1)
building	10	10	0	1	vornavis-solhaven-town (1)	the free port of Solhaven (10)	The Tentacled Tavern (2); Azure Anemone Table (1); Beaded Anemone Table (1); Netted Sea Star Table (1); Red Rock Urchin Table (1)
building	9	9	0	1	vornavis-solhaven-town (1)	the free port of Solhaven (9)	Sea Troll's Kitchen (9)
	9	9	0	0		Wehnimer's Landing (8)	Museum Gallery (8); Wehnimer's Gallery (1)
	9	4	5	0		Ships (9)	Carrack (9)
	9	2	7	0		The Tenebrous Cauldron (9)	Enemy Ship (9)
building	9	9	0	1	special-naidem-west (1)	Evermore Hollow (9)	Gavelsdown Hall (9)
building	9	9	0	1	vornavis-solhaven-town (1)	the town of Solhaven (9)	Temple of Industry (5); Subterrain (3); Shrine of the Sword (1)
building	9	9	0	1	vornavis-solhaven-town (1)	Solhaven (9)	The Wage and Dagger (9)
	9	9	0	0		Wehnimer's Landing (9)	Dome of Memories (9)
	9	8	1	0		the town of Solhaven (9)	Temple of Ronan (9)
building	9	7	2	1	wehnimers-landing-town (1)	Wehnimer's Landing (9)	The TownCrier (9)
building	9	9	0	2	taillistim-town (2)	Ta'Illistim (4)	Ta'Illistim Keep (8); Ta'Illistim (1)
building	9	9	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (9)	Barbley's Beds (1); Drumble's Oddities (1); Firenna's Fireplaces (1); Flaygeyl's Flooring (1); Lianedra's Hangings (1)
building	9	8	1	1	taillistim-town (1)	Ta'Illistim (9)	Ta'Illistim (8); Catacombs (1)
skip	9	8	1	0		Solhaven (9)	Small Airship (9)
	9	6	3	0		Wehnimer's Landing (9)	Oak Tree (9)
building	9	7	2	1	wehnimers-landing-town (1)	Wehnimer's Landing (9)	Black Hand (9)
	9	6	3	0		Kraken's Fall (9)	Tower of Wisdom (9)
	9	5	4	0		Kharam-Dzu (9)	Ranger Guild (9)
	9	9	0	0		Wehnimer's Landing (6); CHE Central (3)	Ebonstone Manor (7); Ebonstone (2)
skip	9	0	9	0		The Miasmic Verge (9)	Miasmic Verge (9)
building	9	9	0	1	taillistim-town (1)	Ta'Illistim (9)	Museum Alerreth (9)
	9	7	2	0		Icemule Trace (9)	ICICLE (9)
	8	8	0	0		Icemule Trace (8)	Northern Fortress (8)
skip	8	0	8	0		The Miasmic Verge (8)	Miasmic Verge (8)
	8	4	4	0		Ships (8)	Brigantine (8)
	8	8	0	0		Sablecross (8)	Shadowsilk Shrine (6); Shadowsilk Passage (2)
	8	8	0	0			Skyship (8)
building	8	8	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (8)	Elaraeyn's Boutique (8)
building	8	8	0	1	icemule-trace-town (1)	Icemule Trace (8)	Fileene's Flooring (1); Katanka's Table Shop (1); Maerhyn's Marble (1); Sweet Dreams Shop (1); Tartle's Rugs (1)
	8	8	0	0			Museum (4); Museum of Weapons and Armor (4)
skip	8	8	0	0		Highman Games near Icemule Trace (8)	Volstrun's Whetter (8)
	8	7	1	0		Ilynov Manor, inside the elven fortress of Ta'Vaalor (8)	Ilynov Manor (8)
building	8	8	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor Inns (8)	Crimson Raven (3); Backsword Table (1); Claidhmore Table (1); Crowbill Table (1); Fist-scythe Table (1)
	8	6	2	0		Solhaven (8)	Journey's End (8)
building	8	8	0	1	krakens-fall-town (1)	Widowmaker's Road (8)	Penitent Pass (7); Kraken's Fall (1)
	8	0	8	0	wehnimers-landing-danjirland (1)		Talon Isle (7); Altar of the Sea's Bargain (1)
building	8	8	0	1	elven-nations-sylvarraend-town (1)	Ta'Illistim (8)	Elaienaran Haven (6); Sylvarraend Herbals (2)
building	8	6	2	1	elven-nations-ravelin (1)	the hamlet of Ravelin (8)	Lilly's Tavern (4); Jester's Table (1); King's Table (1); Knight's Table (1); Queen's Table (1)
	8	8	0	0		the southern part of Solhaven (8)	Zelia's Temple (8)
building	8	6	2	1	special-naidem-west (1)	Naidem (8)	Yvalyst Manor (8)
	8	7	1	0		Wehnimer's Landing (8)	Alabaster Spire (8)
	8	8	0	0		Mist Harbor (8)	Harbor Bistro (2); Bee-eater Table (1); Broadbill Table (1); Macaw Table (1); Parrot Table (1)
	8	8	0	0		Mist Harbor (8)	The Colonnade (8)
	8	7	1	0		Wehnimer's Landing (8)	Black Wolves Manor (2); Defender Hall (2); Black Wolves' Grand Ballroom (1); Black Wolves' Manor (1); The Loft (1)
	7	7	0	0		Ta'Illistim (7)	Cultured Cravings (7)
building	7	7	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (7)	Militia Barracks (7)
skip	7	6	1	1	vornavis-solhaven-town (1)	Solhaven (7)	Watchtower (7)
skip	7	0	7	0		the Feywrot Mire (7)	Black Banyan (6); Feywrot Mire (1)
	7	6	1	0		Wehnimer's Landing (7)	Irregulars Barracks (5); Barracks (2)
	7	2	5	0		The Tenebrous Cauldron (7)	Enemy Ship (7)
building	7	7	0	1	icemule-trace-town (1)	Icemule Trace (7)	Icemule Trace Clerks Suite (4); Calradian's Deed Conveyance (1); Ceraleth's Cartage (1); Icemule Homesteaders Office (1)
building	7	7	0	1	icemule-trace-town (1)	Icemule Trace (7)	Dreamshine's Bedding (1); Fenster's Window Shop (1); Melisii's Fireplace Emporium (1); The Distinctive Elf (1); The House Well-Heeled (1)
building	7	7	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (7)	Wehnimer's Historical Society (7)
building	7	6	1	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (7)	Samyrle's Salon (7)
building	7	7	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (7)	Rainbow Cavern (6); Rainbow Tent (1)
	7	7	0	0		the town of Wehnimer's Landing (7)	The Wellington Home (7)
building	7	6	1	1	icemule-trace-town (1)	Icemule Trace (7)	Icemule Historical Society (7)
building	7	7	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor (7)	Ta'Vaalor Historical Society (7)
building	7	7	0	1	vornavis-solhaven-town (1)	Solhaven (7)	Reptile House (5); Butterfly Garden (1); Creepy Crawlies (1)
building	7	7	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (7)	Prison (7)
	7	7	0	0		Ta'Illistim (7)	Pemberley (7)
building	7	6	1	1	vornavis-solhaven-town (1)	Oleander House, inside the city of Vornavis Proper (5); Solhaven (2)	Oleander House (7)
	7	7	0	0		Sablecross (7)	Seline's Teahouse (4); Jade Wind Table (1); Midnight Jasmine Table (1); Shining Crescent Table (1)
	7	6	1	0		the Isle of Ornath (7)	Tholos of Silence (7)
	7	7	0	0			Skyship (7)
	7	7	0	0			Skyship (7)
building	7	6	1	1	wehnimers-landing-town (1)	Wehnimer's Landing (4); Pan's Place, inside the frontier town of Wehnimer's Landing (3)	Pan's Place (3); Cooper's Shop (2); Cooper's (1); Pan's Enchanting Chamber (1)
building	7	7	0	1	elven-nations-sylvarraend-town (1)	Ta'Illistim (7)	Hagatha's Brew and Barley (2); Ant Hill Table (1); Jeweled Dagger Table (1); Mermaid Table (1); Mystic Table (1)
	7	6	1	0		Wehnimer's Landing (7)	Black River (2); Ruined Catacombs (2); Underground (2); Underground Tunnels (1)
building	7	5	2	1	icemule-trace-town (1)	Shivergale, outside the glacier-locked town of Icemule Trace (6); Icemule Trace (1)	Shivergale (6); Hailscatter Atelier (1)
	7	6	1	0		Sablecross (7)	The Lion's Share (4); Pleasant Pheasant Table (1); Pride's Bounty Table (1); Woodland Spirit Table (1)
	7	4	3	0			Mariath's Manse (7)
	7	5	2	0		Moonshine Manor (7)	Moonshine Manor (7)
	7	3	4	0		Wehnimer's Landing (7)	Drakes Vanguard (7)
building	7	5	2	1	isle-of-the-four-winds-eastern-waterway (1)	Stone Manor, outside the island town of Mist Harbor (7)	Stone Manor (7)
	7	5	2	0		Emberstone Hall, inside the island town of Mist Harbor (5); Emberstone Hall, inside the frozen environs of the Pinefar Trading Post (2)	Emberstone Hall (7)
building	6	6	0	1	vornavis-solhaven-town (1)	Solhaven (6)	Faeilythe's Fashions (6)
	6	6	0	0		Solhaven (6)	Aquarium (5); Underwater Experience (1)
	6	2	4	0		Ta'Vaalor (6)	ShadowGuard (6)
	6	6	0	0		the free port of Solhaven (6)	The Divine Sun (5); Temple of Phoen (1)
	6	2	4	0		The Tenebrous Cauldron (6)	Enemy Ship (6)
	6	2	4	0		The Tenebrous Cauldron (6)	Enemy Ship (6)
building	6	6	0	1	vornavis-solhaven-town (1)	Solhaven (6)	Library (6)
building	6	6	0	2	vornavis-solhaven-town (2)	the town of Solhaven (6)	Oleani's Temple (6)
	6	0	6	0	vornavis-outlands (1)	near the Outlands (6)	Gypsy Compound (6)
building	6	6	0	1	icemule-trace-town (1)	Icemule Trace (6)	Our Colorful Place (6)
skip	6	0	6	0		the Feywrot Mire (6)	Hang'em High (6)
	6	6	0	0			On the Lighter Side (6)
	6	2	4	0		Ta'Vaalor (6)	ShadowGuard (6)
	6	3	3	0		Ta'Vaalor (6)	ShadowGuard (6)
skip	6	6	0	0		the Feywrot Mire (6)	The Coventry (6)
	6	0	6	0	vornavis-caravan-route-transport (1)	Solhaven (6)	Guild Grounds (5); Ranger Guild (1)
building	6	6	0	1	special-duskruin (1)	Bloodriven Village (2)	The Poisoned Heretics (3); The Dented Phylactery (2); Den of the Poisoned Heretics (1)
	6	1	5	0		the Quest Nexus (5); Wehnimer's Landing (1)	Academy Prizes (1); Distorted Campaign Tent (1); Distorted Wharf (1); Distorted Winding Road (1); Nexus (1)
	6	6	0	0		Wehnimer's Landing (6)	Den of the Dragon (6)
	6	6	0	0		Icemule Trace (6)	Flashfeet's (5); Flashfeet's Fine Fashions (1)
building	6	6	0	1	icemule-trace-town (1)	Icemule Trace (6)	Honeybeer Inn (6)
building	6	5	1	1	teras-isle-kharam-dzu-town (1)	the town of Kharam-Dzu (6)	Old Manor (6)
building	6	3	3	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (6)	Mist Harbor Lockup (5); Lockup (1)
	6	4	2	0		River's Rest (6)	Mistral Hall (6)
	6	6	0	0		Wehnimer's Landing (6)	Tropic Treasure (6)
skip	6	6	0	0		the Feywrot Mire (6)	The Goblin Oddity (6)
	6	5	1	0		Icemule Trace (6)	Iceland Rink (3); Iceland Lake (1); Iceland Lobby (1); Iceland Mezzanine (1)
	6	3	3	0		Ta'Vaalor (6)	ShadowGuard (6)
	6	6	0	0		Ta'Illistim (6)	Sharlatta's Frippery (6)
building	6	6	0	1	elven-nations-gyldemar (1)	Peregrine Tavern, outside the elven city of Ta'Illistim (6)	Peregrine Tavern (6)
building	6	5	1	1	elven-nations-ravelin (1)	Ta'Vaalor (6)	Arakhor Estate (5); Underground Cavern (1)
building	6	5	1	1	icemule-trace-south-gate-wilds (1)	Icemule Trace (6)	Sunset Cabin (6)
building	6	6	0	1	krakens-fall-town (1)	Cormorant's Roost, inside the pirate paradise of Kraken's Fall (5); Kraken's Fall (1)	Cormorant's Roost (5); Happy Hands Odds-n-Ends (1)
building	6	5	1	1	special-naidem-west (1)	Evermore Hollow (6)	Antiquarian Manor (5); Antiquarian's Study (1)
	6	6	0	0		Naidem (6)	Sonreeva (6)
	6	6	0	0		Trader's Refuge, inside the seaside town of Solhaven (6)	Trader's Refuge (6)
	6	6	0	0		Evermore Hollow (6)	Gallivant Manor (5); Under the Manor (1)
building	6	5	1	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (6)	Shadowlight Gallery (6)
	6	4	2	0		Mist Harbor (6)	The Lodge (6)
building	6	6	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (6)	Blue Table (1); Green Table (1); Portable Water Hole (1); Red Table (1); The Portable Water Hole (1)
skip	6	5	1	0		Ta'Illistim (6)	Dreadnaught Common Area (1); Dreadnaught Officers' Lounge (1); Hallway (1); The Great Hall of Dreadnaught (1); The Griffin Claw (1)
	6	6	0	0			Abandoned General Store (3); Lost Passages (3)
building	6	6	0	2	special-duskruin (2)	Bloodriven Village (6)	Temple of Tentacles (4); Deep Within Darkness (1); Temple Of Tentacles (1)
	6	3	3	0		Ta'Illistim (6)	Obsidian Acropolis (6)
	6	6	0	0		Oteska's Den, inside the island town of River's Rest (5); River's Rest (1)	Oteska's Den (5); Subterranean Hideaway (1)
building	6	5	1	1	krakens-fall-town (1)	Kraken's Fall (6)	The Vengeance (5); Sailor's Solace (1)
building	6	5	1	1	isle-of-the-four-winds-mist-harbor-town (1)	Dragonfly Den, inside the island town of Mist Harbor (6)	Dragonfly Den (6)
building	6	6	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (6)	Baker's Shop (6)
building	6	5	1	1	vornavis-solhaven-town (1)	the free port of Solhaven (6)	Girvahk's Shop (6)
building	6	5	1	1	wehnimers-landing-lysierian-hills (1)	Wehnimer's Landing (6)	Gryphon Holding (5); Gryhon Holding (1)
skip	6	6	0	0		the Feywrot Mire (6)	Instrumental Interlude (6)
	6	5	1	0		Solhaven (6)	Sunholm (6)
